Number,Color,Genti,Knocking,Texture,Umbilical,Touch,Good
1,Green,Collapse,Turbid,Clear,Sag,HardSlip,Yes
2,Black,Collapse,Dull,Clear,Sag,HardSlip,Yes
3,Black,Collapse,Turbid,Clear,Sag,HardSlip,Yes
4,Green,Collapse,Dull,Clear,Sag,HardSlip,Yes
5,White,Collapse,Turbid,Clear,Sag,HardSlip,Yes
6,Green,Slightly,Turbid,Clear,Slightly,SoftSticky,Yes
7,Black,Slightly,Turbid,Slightly,Slightly,SoftSticky,Yes
8,Black,Slightly,Turbid,Clear,Slightly,HardSlip,Yes
9,Black,Slightly,Dull,Slightly,Slightly,HardSlip,No
10,Green,Stiff,Crisp,Clear,Flat,SoftSticky,No
11,White,Stiff,Crisp,Blurry,Flat,HardSlip,No
12,White,Collapse,Turbid,Blurry,Flat,SoftSticky,No
13,Green,Slightly,Turbid,Slightly,Sag,HardSlip,No
14,White,Slightly,Dull,Slightly,Sag,HardSlip,No
15,Black,Slightly,Turbid,Clear,Slightly,SoftSticky,No
16,White,Collapse,Turbid,Blurry,Flat,HardSlip,No
17,Green,Collapse,Dull,Slightly,Slightly,HardSlip,No
